== TRUE POSITIVES (103) ==
fathom/apps/arbwatch/main.hl:500:9 | hashmap-insert | INVOKED | DislocationCompute::on_book | tob.set: TobSlot.packed String refreshed per book msg; slow leak: string anchor per set, md rate, long-lived child
fathom/lib/venues/binance/refdata/parse.hl:52:27 | struct BinanceRefdataParseError | INVOKED | parse_symbol_object | same fail-and-exit error-literal shape
fathom/lib/venues/binance/refdata/parse.hl:63:30 | struct BinanceRefdataParseError | INVOKED | parse_symbol_object | same fail-and-exit error-literal shape
fathom/lib/venues/binance/refdata/scraper.hl:185:12 | struct rd::Contract | INVOKED | __parse_sentinel | sentinel Contract{symbol:""} (static), Local in consider_symbol method scratch, checked and dropped
fathom/lib/venues/bybit/refdata/parse.hl:49:30 | struct BybitRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/bybit/refdata/scraper.hl:188:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
fathom/lib/venues/coinbase/refdata/parse.hl:47:14 | struct CoinbaseRefdataParseError | INVOKED | parse_product_response | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/coinbase/refdata/parse.hl:51:14 | struct CoinbaseRefdataParseError | INVOKED | parse_product_response | clone: fail-and-exit error literal
fathom/lib/venues/coinbase/refdata/parse.hl:62:14 | struct CoinbaseRefdataParseError | INVOKED | parse_product_response | clone: fail-and-exit error literal
fathom/lib/venues/coinbase/refdata/scraper.hl:184:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
fathom/lib/venues/gateio/refdata/parse.hl:26:26 | struct GateioRefdataParseError | INVOKED | parse_pair_response | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/gateio/refdata/parse.hl:28:27 | struct GateioRefdataParseError | INVOKED | parse_pair_response | clone: fail-and-exit error literal
fathom/lib/venues/gateio/refdata/scraper.hl:186:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
fathom/lib/venues/hyperliquid/refdata/parse.hl:33:26 | struct HyperliquidRefdataParseError | INVOKED | parse_universe_entry | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/hyperliquid/refdata/scraper.hl:164:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
fathom/lib/venues/kraken/refdata/parse.hl:101:14 | struct KrakenRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal
fathom/lib/venues/kraken/refdata/parse.hl:105:14 | struct KrakenRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal
fathom/lib/venues/kraken/refdata/parse.hl:117:14 | struct KrakenRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal
fathom/lib/venues/kraken/refdata/parse.hl:120:14 | struct KrakenRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal
fathom/lib/venues/kraken/refdata/parse.hl:97:14 | struct KrakenRefdataParseError | INVOKED | parse_pair_object | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/kraken/refdata/scraper.hl:198:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
fathom/lib/venues/okx/refdata/parse.hl:26:26 | struct OkxRefdataParseError | INVOKED | parse_instrument | clone: fail-and-exit error literal, or-sentinel caught, scratch-reclaimed
fathom/lib/venues/okx/refdata/parse.hl:28:27 | struct OkxRefdataParseError | INVOKED | parse_instrument | clone: fail-and-exit error literal
fathom/lib/venues/okx/refdata/parse.hl:36:30 | struct OkxRefdataParseError | INVOKED | parse_instrument | clone: fail-and-exit error literal
fathom/lib/venues/okx/refdata/scraper.hl:179:12 | struct rd::Contract | INVOKED | __parse_sentinel | clone: static sentinel Contract, Local, dropped in method scratch
pond/agent/llm/sse.hl:107:16 | struct __NextResult | INVOKED | next_data_line | same drain loop; no-frame early return; NOT bounded-form — SseBuffer.buf is plain String (verified line 43)
pond/agent/llm/sse.hl:165:12 | struct __NextResult | INVOKED | next_data_line | one __NextResult per frame of a finite body; consumed in method scratch
pond/agent/llm/sse.hl:167:20 | struct SseBuffer | INVOKED | next_data_line | per-frame SseBuffer rebuild; O(body) per frame but reclaimed at stream() exit
pond/agent/llm/sse.hl:98:16 | struct __NextResult | INVOKED | next_data_line | caller loop (AnthropicClient::stream, a method) drains one fully-fetched body; scratch reclaimed at method exit
pond/crypto/hex.hl:49:18 | struct HexError | LOOP | hex_decode | fail exits fn immediately; loop bounded by len(s)
pond/http/client/keepalive.hl:111:28 | struct __ChunkScan | LOOP | __scan_chunks | scan over received buffer [start,end); return exits loop
pond/http/client/keepalive.hl:111:48 | bytes-literal | LOOP | __scan_chunks | b"" in same return
pond/http/client/keepalive.hl:113:30 | struct __ChunkScan | LOOP | __scan_chunks | same
pond/http/client/keepalive.hl:113:50 | bytes-literal | LOOP | __scan_chunks | same
pond/http/client/keepalive.hl:114:31 | struct __ChunkScan | LOOP | __scan_chunks | terminator return exits; buffer-bounded loop
pond/http/client/keepalive.hl:117:40 | struct __ChunkScan | LOOP | __scan_chunks | incomplete-data return exits; buffer-bounded
pond/http/client/keepalive.hl:117:60 | bytes-literal | LOOP | __scan_chunks | b"" in same return
pond/jobs/pool.hl:85:13 | struct Worker | LOOP | Pool::birth | Worker fan-out capped by `workers` param; children persist by design, dissolve with Pool
pond/metrics/registry.hl:90:42 | struct MetricEntry | LOOP | Registry::render | fallback MetricEntry per registered metric; render() is a method, scratch reclaimed per call
pond/metrics/registry.hl:99:60 | struct HistogramData | LOOP | Registry::render | fallback HistogramData, same loop; store.len() bounded by registrations
pond/migrations/sqlite_driver.hl:270:16 | struct sqlite::Row | INVOKED | SqliteDriver::__stash_row_done | sentinel Row per step in one result-set drain (line 162 loop) inside a query method; also one-shot migration runner
pond/ml/neural/model.hl:262:20 | struct Layer | INVOKED | Model::layer_at | out-of-range sentinel Layer in method layer_at; reclaimed per call
pond/ml/neural/model.hl:616:20 | struct Layer | LOOP | parse_layer_at | return exits meta walk; loop bounded by i/meta length
pond/ml/neural/model.hl:636:12 | struct Layer | INVOKED | parse_layer_at | sentinel Layer; callers iterate layer_count inside methods (train_step/forward), scratch reclaimed
pond/ml/neural/model.hl:673:12 | struct TripleCsv | INVOKED | parse_three_csv | one TripleCsv per meta row; layer_count-bounded, method scratch
pond/pq/pool.hl:56:21 | struct PgConn | LOOP | PgPool::open | dial loop capped by `size` param; open() runs once per pool
pond/pq/pool.hl:61:24 | struct db::Status | LOOP | PgPool::open | error Status return exits fn; size-capped loop
pond/pq/pool.hl:77:25 | struct PgConn | LOOP | PgPool::close | transient PgConn wrapper per fd; loop capped at n; close() method scratch
-- GAP-OTHER (78) --
fathom/apps/ledger/main.hl:390:16 | struct ReplayResult | INVOKED | LedgerQueryHandler::replay_pair | Local ReplayResult return; consumed inside per-request handle() scratch, reclaimed per request
fathom/apps/ledger/main.hl:761:20 | struct AttrSlot | INVOKED | Ledger::resolve_attr | Local AttrSlot return; consumed by on_fill/persist_fill handler scratch, reclaimed per dispatch (not a run-loop)
fathom/apps/ledger/main.hl:765:20 | struct AttrSlot | INVOKED | Ledger::resolve_attr | same resolve_attr return shape
fathom/apps/ledger/main.hl:767:16 | struct AttrSlot | INVOKED | Ledger::resolve_attr | same resolve_attr return shape
fathom/apps/ledger/main.hl:782:45 | struct AttrSlot | LOOP | Ledger::desk_of_strategy | Local `or AttrSlot{}` in attr-map scan; attr population grows, but allocs die at handler-scratch exit — no accumulation
fathom/apps/mdgw/binance/main.hl:203:16 | struct bn::RestSnapshot | INVOKED | BinanceBook::swallow_snap | swallow_snap method scratch; RestSnapshot consumed inside refetch() (method), reclaimed at exit
fathom/apps/mdgw/binance/main.hl:212:12 | struct http::Response | INVOKED | __http_sentinel | free fn shares refetch() method scratch; Response reclaimed at method exit (rule 1); error path only
fathom/apps/mdgw/binance/main.hl:212:59 | bytes-literal | INVOKED | __http_sentinel | static b"" literal inside method-scratch Response; reclaimed at refetch() exit
fathom/apps/mdgw/binance/main.hl:741:16 | struct d::Tick | INVOKED | BinanceMdgw::swallow_tick | swallow_tick return consumed inside dispatch() method scratch, reclaimed per call; never reaches run()'s scratch
fathom/apps/mdgw/binance/main.hl:747:16 | struct bn::SubAck | INVOKED | BinanceMdgw::swallow_ack | swallow_ack return consumed inside dispatch() method scratch (run calls dispatch, a method), reclaimed per call
fathom/apps/mdgw/binance/main.hl:753:16 | struct bn::BinanceError | INVOKED | BinanceMdgw::swallow_kerr | swallow_kerr return consumed inside dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/bybit/main.hl:651:16 | struct d::Tick | INVOKED | BybitMdgw::swallow_tick | clone: consumed in dispatch_trades() method scratch, reclaimed per call
fathom/apps/mdgw/bybit/main.hl:657:16 | struct by::SubAck | INVOKED | BybitMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/bybit/main.hl:663:16 | struct by::BybitError | INVOKED | BybitMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/coinbase/main.hl:598:16 | struct d::Tick | INVOKED | CoinbaseMdgw::swallow_tick | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/coinbase/main.hl:603:16 | struct c::SubAck | INVOKED | CoinbaseMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/coinbase/main.hl:608:16 | struct c::CoinbaseError | INVOKED | CoinbaseMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/evm/main.hl:1402:16 | struct CostCurve | INVOKED | amm_curve | all-scalar CostCurve local in free fn; caller on_v3_swap/on_v2_sync handler scratch reclaims (run→dispatch→handler, all methods)
fathom/apps/mdgw/evm/main.hl:1420:12 | struct CostCurve | INVOKED | amm_curve | same: all-scalar CostCurve in handler-scratch chain, reclaimed at method exit
fathom/apps/mdgw/evm/main.hl:1433:12 | struct d::BookSignalSnapshot | INVOKED | apply_curve | snapshot built in handler scratch then bus-published (PoolBookInternal, reclaimed per dispatch); scratch reclaims at exit
fathom/apps/mdgw/evm/main.hl:1456:12 | array-literal | INVOKED | curve_decs | [Decimal;4] scalar array local in free fn within handler scratch; reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1477:42 | array-literal | INVOKED | v3_human_reserves | [Float;2] scalar local; free fn in on_v3_swap handler scratch, reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1483:33 | array-literal | INVOKED | v3_human_reserves | same [Float;2] scalar local, handler scratch, reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1484:12 | array-literal | INVOKED | v3_human_reserves | same [Float;2] scalar local, handler scratch, reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1495:33 | array-literal | INVOKED | v2_human_reserves | [Float;2] scalar array local; free fn in on_v2_sync handler scratch, reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1496:12 | array-literal | INVOKED | v2_human_reserves | same [Float;2] scalar local, handler scratch, reclaimed at exit
fathom/apps/mdgw/evm/main.hl:1659:12 | struct Pool | INVOKED | parse_pool_rec | dead code: sole caller pool_at has no live call sites (replaced per comment line 269); would be method-scratch bounded anyway
fathom/apps/mdgw/gateio/main.hl:642:16 | struct d::Tick | INVOKED | GateioMdgw::swallow_tick | clone: consumed in dispatch_trades() method scratch, reclaimed per call
fathom/apps/mdgw/gateio/main.hl:648:16 | struct ga::SubAck | INVOKED | GateioMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/gateio/main.hl:654:16 | struct ga::GateioError | INVOKED | GateioMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/hyperliquid/main.hl:655:16 | struct d::Tick | INVOKED | HyperliquidMdgw::swallow_tick | clone: consumed in dispatch_trades() method scratch, reclaimed per call
fathom/apps/mdgw/hyperliquid/main.hl:661:16 | struct hl::SubAck | INVOKED | HyperliquidMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/hyperliquid/main.hl:667:16 | struct hl::HyperliquidError | INVOKED | HyperliquidMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/hyperliquid/main.hl:799:12 | struct http::Response | INVOKED | __funding_http_sentinel | free fn shares poll() method scratch (poll is member fn called from run); Response reclaimed at poll() exit
fathom/apps/mdgw/hyperliquid/main.hl:799:59 | bytes-literal | INVOKED | __funding_http_sentinel | static b"" literal in poll()'s method scratch, reclaimed at exit
fathom/apps/mdgw/kraken/main.hl:688:16 | struct d::Tick | INVOKED | KrakenMdgw::swallow_tick | clone: consumed in dispatch_trades() method scratch, reclaimed per call
fathom/apps/mdgw/kraken/main.hl:694:16 | struct k::SubAck | INVOKED | KrakenMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/kraken/main.hl:700:16 | struct k::KrakenError | INVOKED | KrakenMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/okx/main.hl:652:16 | struct d::Tick | INVOKED | OkxMdgw::swallow_tick | clone: consumed in dispatch_trades() method scratch, reclaimed per call
fathom/apps/mdgw/okx/main.hl:658:16 | struct ox::SubAck | INVOKED | OkxMdgw::swallow_ack | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/mdgw/okx/main.hl:664:16 | struct ox::OkxError | INVOKED | OkxMdgw::swallow_kerr | clone of binance shape: consumed in dispatch() method scratch, reclaimed per call
fathom/apps/priceview/main.hl:503:16 | struct ComputeResult | INVOKED | SymFeature::compute | all-scalar ComputeResult (Float + [Int;5] + Int) in method scratch (on_book→record→compute), reclaimed at handler exit
fathom/apps/prober/main.hl:249:16 | struct pb::ProbeConfig | INVOKED | Prober::__pcfg | ProbeConfig local in on_depth handler scratch, passed to probe_step, reclaimed at handler exit
fathom/apps/refscraper/evm_discovery.hl:826:12 | struct disc::FactorySpec | INVOKED | __parse_factory_rec | FactorySpec local in free fn; callers factory_at/discover_cycle are member fns — scratch reclaimed per method call, not run() body
fathom/apps/refstore/main.hl:332:16 | struct db::ExecResult | INVOKED | Refstore::upsert_event | all-default ExecResult in upsert_event method scratch; consumed by persist_pg (handler-invoked method), reclaimed at exit
fathom/apps/riskgw/main.hl:1248:9 | hashmap-insert | INVOKED | RiskGw::rehydrate_position | seed path guarded by seeded_get (line 1233): ≤1 set per bounded (desk,symbol) → total anchored bytes bounded
fathom/apps/riskgw/main.hl:1378:54 | struct PositionSlot | LOOP | RiskGw::sum_book_positions | PositionSlot default literal in method scratch; reclaimed at sum_book_positions exit
fathom/apps/riskgw/main.hl:1395:9 | hashmap-insert | INVOKED | RiskGw::seeded_set | seeded.set fires once per (desk,symbol) (guard checked before call); bounded key domain → bounded total sets
fathom/apps/riskgw/main.hl:1793:49 | struct OpenOrderSlot | LOOP | RiskGw::emit_cancel_batches | OpenOrderSlot default literal in method scratch (§1); dies at emit_cancel_batches exit, loop count irrelevant
fathom/apps/riskgw/main.hl:1813:53 | struct OpenOrderSlot | LOOP | RiskGw::emit_cancel_batches | same shape, pass-2 of same method; scratch-reclaimed at exit
fathom/apps/riskgw/main.hl:1893:49 | struct OpenOrderSlot | LOOP | RiskGw::on_strategy_state_req | OpenOrderSlot default literal in handler scratch (§1); dies at handler exit
fathom/apps/riskgw/main.hl:1963:51 | struct StrategyLiveSlot | LOOP | RiskGw::reap_scan | reap_scan is a method (own scratch) though called from run loop; literal dies at method exit
fathom/apps/riskgw/main.hl:1975:41 | struct StrategyLiveSlot | LOOP | RiskGw::reap_scan | StrategyLiveSlot literal in method scratch; anchoring charged to paired insert warning
fathom/apps/riskgw/main.hl:2148:49 | struct OpenOrderSlot | LOOP | RiskGw::on_trade_recon_orders | OpenOrderSlot literal in open_orders walk; handler scratch dies at exit, loop bound irrelevant
fathom/apps/riskgw/main.hl:2387:49 | struct OpenOrderSlot | LOOP | RiskGw::sum_live_notional | OpenOrderSlot default literal in method scratch; reclaimed at sum_live_notional exit
fathom/apps/riskgw/main.hl:2416:49 | struct OpenOrderSlot | LOOP | RiskGw::venue_reserved | OpenOrderSlot default literal in method scratch; reclaimed at venue_reserved exit
fathom/apps/riskgw/main.hl:2445:56 | struct VenueBalSlot | LOOP | RiskGw::publish_snapshot_venues | VenueBalSlot default literal in method scratch; reclaimed at method exit
fathom/apps/riskgw/main.hl:2875:16 | struct GreaseEp | INVOKED | RiskGw::grease_for | single per-call default GreaseEp; consumed in on_order_intent handler scratch, reclaimed per dispatch
fathom/apps/riskgw/main.hl:830:61 | struct RateSlot | LOOP | RiskGw::publish_safety | RateSlot default literal in publish_safety method scratch; reclaimed at method exit
fathom/apps/riskgw/main.hl:849:59 | struct StrategyLiveSlot | LOOP | RiskGw::publish_safety | StrategyLiveSlot default literal in method scratch; reclaimed at method exit
pond/logfmt/otlp_sink.hl:198:16 | struct http::Response | INVOKED | OtlpSink::__handle_http | sentinel Response returned into __post_batch (method) scratch, reclaimed at exit; no run-loop consumer in the chain
pond/logfmt/otlp_sink.hl:198:63 | bytes-literal | INVOKED | OtlpSink::__handle_http | b"" in same sentinel; same method-scratch lifetime
pond/websocket/client.hl:563:18 | struct WsError | INVOKED | WsClient::send_frame_internal | static-literal fail value; consumed by or-raise/or-discard in caller member-fn scratch; error path only
pond/websocket/client.hl:812:16 | struct FrameHeader | INVOKED | WsClient::framing_fail_hdr | all-scalar FrameHeader substitute return into try_peel_one member-fn scratch
pond/websocket/client.hl:834:16 | struct UrlParts | INVOKED | parse_url | UrlParts returned into reparse_url member-fn scratch; reclaimed at method exit; per-dial not per-message
pond/websocket/client.hl:853:20 | struct UrlParts | INVOKED | parse_url | same shape as 834; error-branch UrlParts dies with reparse_url scratch
pond/websocket/client.hl:880:12 | struct UrlParts | INVOKED | parse_url | success-path UrlParts; scheme/path substrings + struct die in reparse_url member-fn scratch
pond/websocket/frame.hl:105:20 | struct FrameHeader | INVOKED | peek_header | same shape as 90:16; incomplete-frame early return, all-scalar, caller-scratch lifetime
pond/websocket/frame.hl:115:20 | struct FrameHeader | INVOKED | peek_header | same shape as 90:16
pond/websocket/frame.hl:122:18 | struct WsError | INVOKED | peek_header | static-literal fail value; consumed by framing_fail_hdr/__raise_framing substitutes in caller member-fn scratch
pond/websocket/frame.hl:142:20 | struct FrameHeader | INVOKED | peek_header | same shape as 90:16
pond/websocket/frame.hl:152:16 | struct FrameHeader | INVOKED | peek_header | same shape as 90:16
pond/websocket/frame.hl:155:12 | struct FrameHeader | INVOKED | peek_header | success-path all-scalar FrameHeader; dies at caller member-fn exit
pond/websocket/frame.hl:90:16 | struct FrameHeader | INVOKED | peek_header | all-scalar FrameHeader returned into caller member-fn scratch (try_peel_one / server read_msg); reclaimed at exit
pond/websocket/handshake.hl:101:18 | struct WsError | INVOKED | parse_response | static-literal fail value dies in connect_once member-fn scratch via or-substitute
pond/websocket/handshake.hl:107:18 | struct WsError | INVOKED | parse_response | fail value (dynamic detail) dies in connect_once member-fn scratch; anchor risk is at the 806 store, not here
pond/websocket/handshake.hl:88:14 | struct WsError | INVOKED | parse_response | fail value (dynamic detail) consumed by or-substitute inside connect_once member-fn scratch; reclaimed at exit; downstream anchor flagged separately at 806
pond/websocket/server.hl:430:14 | struct FrameHeader | INVOKED | __raise_framing | all-scalar FrameHeader returned into WsServerConn::read_msg member-fn scratch; reclaimed at method exit
-- GAP-RUNTIME-BOUNDED-WHILE (37) --
fathom/apps/prober/main.hl:327:32 | struct pb::ProbeState | LOOP | Prober::on_halt | n_probes(≤16) loop in on_halt handler; all-scalar ProbeState, scratch-reclaimed at handler exit
fathom/apps/prober/main.hl:368:32 | struct pb::ProbeState | LOOP | Prober::on_probe_toggle | n_probes(≤16) loop in on_probe_toggle handler; all-scalar ProbeState, scratch-reclaimed at handler exit
fathom/apps/prober/main.hl:444:36 | struct pb::ProbeState | LOOP | Prober::on_depth | n_probes(≤16) loop in on_depth handler; all-scalar ProbeState literal, scratch-reclaimed at handler exit
fathom/apps/prober/main.hl:723:28 | struct pb::ProbeState | LOOP | Prober::on_strategy_state | n_probes(≤16) stuck-probe sweep in on_strategy_state; all-scalar ProbeState, scratch-reclaimed at handler exit
fathom/apps/prober/main.hl:858:27 | struct pb::ProbeState | LOOP | Prober::__add_spec | rungs loop hard-capped at 16 probe slots; all-scalar ProbeState in birth/handler scratch, reclaimed
pond/http/client/client.hl:104:14 | struct HttpError | INVOKED | __round_trip_oneshot | fail in oneshot; reached only via max_attempts retry loop; method scratch
pond/http/client/client.hl:139:24 | struct HttpError | LOOP | __round_trip_with_retry | last_err local reassigned inside `attempt < max_attempts` loop; free-fn scratch reclaimed at caller-method exit
pond/http/client/client.hl:159:12 | struct Response | INVOKED | __empty_response | sentinel Response reached via max_retries-capped retry loops inside methods; scratch-reclaimed
pond/http/client/client.hl:162:15 | bytes-literal | INVOKED | __empty_response | b"" literal in same sentinel; same bound
pond/http/client/client.hl:50:10 | struct HttpError | INVOKED | __raise_connect | fail HttpError per failed dial; dial attempts capped by max_retries
pond/http/client/keepalive.hl:121:12 | struct __ChunkScan | INVOKED | __scan_chunks | post-loop return; caller __recv_framed loop max_body-capped; method scratch
pond/http/client/keepalive.hl:121:32 | bytes-literal | INVOKED | __scan_chunks | b"" in same return
pond/http/client/keepalive.hl:141:28 | struct __FramedRead | LOOP | __recv_framed | `while total < max_body` caps iterations; return exits loop
pond/http/client/keepalive.hl:148:29 | struct __FramedRead | INVOKED | __recv_framed | post-loop return; caller retry loop capped; method scratch
pond/http/client/keepalive.hl:159:26 | struct std::bytes::BytesBuilder | LOOP | __recv_framed | BytesBuilder allocated once on chunk-complete, then returns; loop max_body-capped
pond/http/client/keepalive.hl:162:24 | struct __FramedRead | LOOP | __recv_framed | return exits; max_body-capped loop
pond/http/client/keepalive.hl:167:32 | struct __FramedRead | LOOP | __recv_framed | return exits on EOF; max_body-capped loop
pond/http/client/keepalive.hl:172:16 | struct __FramedRead | INVOKED | __recv_framed | post-loop return; same bound
pond/http/client/keepalive.hl:185:32 | struct __FramedRead | LOOP | __recv_framed | Content-Length loop capped by need/max_body; return exits
pond/http/client/keepalive.hl:191:16 | struct __FramedRead | INVOKED | __recv_framed | post-loop return; same bound
pond/http/client/keepalive.hl:203:12 | struct __FramedRead | INVOKED | __recv_framed | post-loop return after read-to-close; max_body-capped
pond/http/client/keepalive.hl:214:26 | struct __ExchangeResult | INVOKED | __exchange_on_handle | __ExchangeResult returned into Client::__pooled (method) scratch; retry loop capped max_retries+1
pond/http/client/keepalive.hl:217:28 | struct __ExchangeResult | INVOKED | __exchange_on_handle | same
pond/http/client/keepalive.hl:221:34 | struct __ExchangeResult | INVOKED | __exchange_on_handle | same
pond/http/client/keepalive.hl:224:12 | struct __ExchangeResult | INVOKED | __exchange_on_handle | same
pond/http/client/wire.hl:231:12 | struct Response | INVOKED | __parse_response | one parsed Response per exchange; only reachable via retry-capped loops in method scratch
pond/tui/screen.hl:180:48 | struct Cell | LOOP | Screen::flush | fallback Cell in flush()'s w×h-bounded loops; method scratch, reclaimed at flush return each frame
pond/tui/screen.hl:181:47 | struct Cell | LOOP | Screen::flush | same shape: fallback Cell for prev.get, flush() method scratch
pond/tui/screen.hl:58:29 | struct Cell | LOOP | Screen::resize | Cell literal in while len<needed inside method resize(); loop terminates at needed, scratch reclaimed at exit
pond/tui/screen.hl:59:28 | struct Cell | LOOP | Screen::resize | same shape: Cell literal, runtime-bounded grow loop, method scratch
pond/tui/screen.hl:71:31 | struct Cell | LOOP | Screen::clear | Cell literal in while i<w*h inside locus method clear(); memcpy'd into slot, scratch reclaimed at method exit
pond/websocket/client.hl:340:50 | struct WsLogEvent | LOOP | WsClient::read_msg | static-literal WsLogEvent arg in read_msg scratch; loop exits per message/bail; silent-peer spin allocs ~1/ping-cycle, outage-paced only
pond/websocket/server.hl:124:38 | struct WsLogEvent | LOOP | WsServerConn::handshake | static-literal WsLogEvent in 16KB-capped handshake loop, once per connection; member-fn scratch reclaimed
pond/websocket/server.hl:138:38 | struct WsLogEvent | LOOP | WsServerConn::handshake | same shape as 124:38; capped loop, exits on this branch
pond/websocket/server.hl:327:42 | struct WsLogEvent | LOOP | WsServerConn::pump_recv | static-literal WsLogEvent; pump_recv loop runs ≤2 deadline cycles per call then returns; member-fn scratch
pond/websocket/server.hl:338:30 | struct std::io::tcp::Stream | LOOP | WsServerConn::pump_recv | all-scalar Stream{fd,bool} local in ≤2-cycle pump_recv loop; dies at method exit
pond/websocket/server.hl:339:55 | bytes-literal | LOOP | WsServerConn::pump_recv | empty b"" literal, ≤1 per ping cycle in bounded pump_recv loop; method-scratch lifetime
-- GAP-INPLACE-STORE (23) --
fathom/lib/domain/book.hl:277:36 | struct BookLevel | LOOP | BookSignal::remove_bid_at | clone of remove_ask_at: all-scalar struct in-place array store, const-bounded loop
fathom/lib/domain/book.hl:310:28 | struct BookLevel | LOOP | BookSignal::upsert_bid | clone of upsert_ask on bid side; all-scalar in-place array store
fathom/lib/domain/book.hl:327:36 | struct BookLevel | LOOP | BookSignal::remove_ask_at | all-scalar BookLevel(Decimal,Decimal) memcpy into fixed [BookLevel;100] slot; shift loop const-bounded at 100
fathom/lib/domain/book.hl:360:28 | struct BookLevel | LOOP | BookSignal::upsert_ask | upsert shift: all-scalar BookLevel into fixed array slot, in-place, bounded 100
fathom/lib/trade-libs/risk/risk_gate.hl:309:28 | struct RiskBreach | INVOKED | RiskGate::check | clear-breach literal is all static ""/literal strings — static literals skipped, in-place struct store
pond/agent/embeddings/embeddings.hl:250:13 | vec-insert | LOOP | Store::remove_at | ids.set overwrites String cell in place during shift; remove_at net-shrinks (trailing pops)
pond/agent/embeddings/embeddings.hl:251:13 | vec-insert | LOOP | Store::remove_at | metas.set same shape: in-place String cell overwrite in a shrinking op
pond/websocket/client.hl:268:43 | struct WsError | LOOP | WsClient::open | static-literal store in open()'s retry loop; loop exits same iteration; open is member fn, scratch reclaimed
pond/websocket/client.hl:314:39 | struct WsError | LOOP | WsClient::read_msg | static-literal last_error store; sets bail, loop exits; read_msg scratch reclaimed per call
pond/websocket/client.hl:346:51 | struct WsError | LOOP | WsClient::read_msg | static-literal last_error store; bail path
pond/websocket/client.hl:366:47 | struct WsError | LOOP | WsClient::read_msg | static-literal last_error store; bail path
pond/websocket/client.hl:382:43 | struct WsError | LOOP | WsClient::read_msg | static-literal last_error store; bail path
pond/websocket/client.hl:414:31 | struct WsError | INVOKED | WsClient::try_peel_one | WsError{"",""} static-literal clear of last_error; in-place
pond/websocket/client.hl:703:31 | struct WsError | INVOKED | WsClient::connect_once | self.last_error store; both subfields static literals — skipped, in-place memcpy, no anchor
pond/websocket/client.hl:718:31 | struct WsError | INVOKED | WsClient::connect_once | static-literal WsError store to last_error; in-place, no leak
pond/websocket/client.hl:737:35 | struct WsError | INVOKED | WsClient::connect_once | static-literal store inside tries<100 bounded loop; returns false immediately after
pond/websocket/client.hl:771:27 | struct WsError | INVOKED | WsClient::connect_once | static-literal WsError store after loop; in-place
pond/websocket/client.hl:796:27 | struct WsError | INVOKED | WsClient::io_substitute_int | static-literal WsError ("io"/"io failure") store; in-place
pond/websocket/server.hl:120:35 | struct WsError | LOOP | WsServerConn::handshake | static-literal last_error store; returns false immediately
pond/websocket/server.hl:134:35 | struct WsError | LOOP | WsServerConn::handshake | static-literal last_error store; returns false immediately
